Category,Skills & Details,Tools & Technologies,Education Details
,"Programming Languages: Python, Java, JavaScript, JQuery, SQL; Data Analysis and Visualization: pandas, numpy, scipy, scikit-learn, matplotlib, ggplot, Tableau, Plotly, D3.js, DC.js, kibana; Machine Learning: Regression, SVM, Naïve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language Processing (NLP), Dimensionality Reduction, Topic Modelling (LDA, NMF, PCA), Neural Nets; Database: MySQL, SQL Server, Cassandra, Hbase, ElasticSearch; Web Technologies: HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker; Computer Vision and Deep Learning: OpenCV, understanding of Deep Learning; Other Skills: Regular Expressions.","Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, Naïve Bayes, LDA, NMF for topic modelling, Vader, text blob for sentiment analysis, matplotlib, Tableau, NLTK, spacy, JavaScript, JQuery, SQL Server, Flask, Elastic Search, Kibana, HTML, CSS, Bootstrap, Node.js, D3.js, DC.js.",Data Science Assurance Associate; Institution: Ernst Young LLP.
,"JAVASCRIPT- Exprience - 24 months 
jQuery- Exprience - 24 months 
Python- Exprience - 24 months","Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer",January 2019 B.Tech. Electrical and Electronics Engineering Manipal Institute of Technology January 2015 DEEKSHA CENTER January 2013 Little Flower Public School August 2000 Manipal Academy of Higher
,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C, Linear Programming, Data Modelling, Advanced Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Linear Programming (6 months), Retail (6 months), Retail Marketing (6 months), SCM (6 months), SQL (less than 1 year), Deep Learning (less than 1 year), Machine Learning (less than 1 year), Python (less than 1 year), R (less than 1 year).","R, Python, SAP HANA, Tableau, SAP AO, SQL Server, Anaconda3, Python 3.6, HANA SPS12, SAP PAL, Visual Studio 2010, Windows Server, SQL Server Profiler, Performance Monitor, UML, T-SQL, PL/SQL.","PGDM in Business Analytics, Great Lakes Institute of Management, Illinois Institute of Technology (January 2017 - January 2018); Bachelor of Engineering in Electronics and Communication, New Horizon College of Engineering, Bangalore, Visvesvaraya Technological University (January 2013)."
Database,"DATABASE- Exprience - 61 months 
BACKUPS- Exprience - 48 months 
LINUX- Exprience - 48 months 
MS SQL SERVER- Exprience - 48 months 
SQL- Exprience - 48 months","SQL Server 2014/ 2017 Postgresql 9.5, 9.6, Oracle","B.E Computer Engineering Mumbai, Maharashtra Mumbai University"
,"Sql Dba- Exprience - Less than 1 year months
","SQL Server, Sybase ASE Server, Oracle, MongoDB Monitoring and Ticketing Tools HP Service Manager 7.0/9.0, Solar winds DPA, JIRA and MongoDB OPS manager Web Server IIS 7.0 Database Tools SSMS, DBArtisan, Studio 3T, SnapShot Manager for SQL Server","B. Tech Computer Science Gulbarga, Karnataka PDACOE, Gulbarga, Autonomous Institution"
,"MS SQL SERVER- Exprience - 110 months 
Microsoft azure- Exprience - Less than 1 year months 
Database mirroring- Exprience - Less than 1 year months 
Performance tuning- Exprience - Less than 1 year months 
Log shipping- Exprience - Less than 1 year months 
Installation , upgrade, migration and patching- Exprience - Less than 1 year months","MS LiteSpeed, Idera SQL Safe, SSMS, Upgrade Advisor, SQL Server Profiler, SCOM, Diagnostic Manager, Remedy, Jira, Infopacc, Tivoli TDP backup tool, SQL Pack DatabasesMS SQL Server 2016/2014/2012/ 2008 R2/ 2008, Oracle 10g, Netezza Microsoft azure","Masters of Science Computer Science Pune, Maharashtra Indira College, Pune University"
,"DATABASE- Exprience - 17 months 
MYSQL- Exprience - 17 months 
ORACLE- Exprience - 17 months 
SQL- Exprience - 17 months 
DATABASE ADMINISTRATION- Exprience - 6 months","SQL Oracle 10g, 11g, MYSQL, MariaDB, postgreSQL Windows, Linux Putty","January 2018 MCS Pune, Maharashtra Pune University"
,"ORACLE- Exprience - 48 months
LINUX- Exprience - 6 months
ORACLE DBA- Exprience - Less than 1 year months
RAC- Exprience - Less than 1 year months
GOLDEN GATE- Exprience - Less than 1 year months
ASM- Exprience - Less than 1 year months
DATAGUARD- Exprience - Less than 1 year months","Operating System LINUX, Windows Server 2012 R2, Windows 98, Windows 2000/ XP Tools & Utility Packages SQL* Loader, SQL*PLUS, OEM, Datapump, expdp/impdp, PLSQL Developer, Jenkins Database Oracle 10g, Oracle 11g, Oracle 12c Scripting UNIX Shell Scripting Language SQL","January 2011 M.B.A. Amravati, Maharashtra Amravati University January 2007 B.C.A. Nagpur, Maharashtra Nagpur University"
,"DATABASES- Exprience - 24 months
ORACLE- Exprience - 24 months
RMAN- Exprience - 24 months
NETBACKUP- Exprience - 24 months
SCOM- Exprience - 24 months","Data Pump, RMAN, Data guard, ASM, RAC, Golden Gate Tools: OCC, PUTTY, SQLPLUS, SQL Developer, Netbackup, SCOM, SCCM, VMWare Vsphere","Bachelor of Engineering (B.E.) in Computer Science and Engineering From SGBAU Amravati University, Amravati in 2014"
,"DATABASE- Exprience - 120 months 
DATABASE ADMINISTRATOR- Exprience - 72 months 
MAINTENANCE- Exprience - 48 months 
MS SQL SERVER- Exprience - 48 months 
REPLICATION- Exprience - 48 months
","SSMS, Performance Monitor, Sql profiler, SQL lite speed",B.Sc. Maths Kakatiya University Board
,"DATABASES- Exprience - 108 months 
MIDDLEWARE- Exprience - 96 months 
RMAN- Exprience - 84 months 
SHELL SCRIPTS- Exprience - 48 months","Oracle Databases 12c, 11g, 10g â¢ Weblogic 12c, 11g â¢ Grid Infrastructure â¢ RMAN â¢ ASM â¢ Middleware: OIM, OAM, SOA â¢ Shell Scripts â¢ DataGuard â¢ Web servers - OHS, Apache â¢ Architecture Designs","January 2007 Bachelor of Engineering Information Technology Sangli, Maharashtra Walchand College January 2004 Diploma Computer Engineering Jalgaon, Maharashtra Govt. Polytechnic"
,"MS SQL SERVER- Exprience - 110 months
Microsoft azure- Exprience - Less than 1 year months
Always on availabiity group- Exprience - Less than 1 year months
Database mirroring- Exprience - Less than 1 year months
Performance tuning- Exprience - Less than 1 year months
Log shipping- Exprience - Less than 1 year months","MS LiteSpeed, Idera SQL Safe, SSMS, Upgrade Advisor, SQL Server Profiler, SCOM, Diagnostic Manager, Remedy, Jira, Infopacc, Tivoli TDP backup tool, SQL Pack DatabasesMS SQL Server 2016/2014/2012/ 2008 R2/ 2008, Oracle 10g, Netezza Microsoft azure","Masters of Science Computer Science Pune, Maharashtra Indira College, Pune University"
DevOps Engineer,"C- Exprience - 6 months
C++- Exprience - 6 months
Sql- Exprience - 6 months
Pl/Sql- Exprience - 6 months
Core Java- Exprience - 6 months
Javascript- Exprience - Less than 1 year months
HTML- Exprience - Less than 1 year months
CSS- Exprience - Less than 1 year months
Jquery- Exprience - Less than 1 year months
JavaEE- Exprience - Less than 1 year months
Mysql- Exprience - Less than 1 year months
Python- Exprience - 6 months","Xillinx, Modelsim, Matlab, Multisim","May 2016 B.E. Savitribai Phule Pune, Maharashtra Pune University March 2010 S.S.C Maharashtra Board"
,"DEPLOYMENT- Exprience - 27 months
Git- Exprience - 27 months
DOCUMENTATION- Exprience - 26 months
CHANGE MANAGEMENT- Exprience - 10 months
CONFIGURATION MANAGEMENT- Exprience - 10 months","ANT, Maven, Jenkins ","June 2015 to June 2017 Masters of science information technology Hyderabad, Telangana JNTU"
,"MICROSOFT SHAREPOINT- Exprience - 147 months
SHAREPOINT- Exprience - 147 months
SQL- Exprience - 92 months
ASP- Exprience - 79 months
ASP.NET- Exprience - 76 months","MS Technology .Net, SharePoint, MS SQL and Oracle PL/SQL","January 1998 Bachelor of Art Economics Dibrugarh, Assam, IN Dibrugarh University
 MBA Information Technology  Sikkim Manipal University
  Software Engineering and Computer Science Pune, Maharashtra NIIT"
,"Data Base Design, PHP, Python, MySql, JavaScript, HTML, Ajax, XML, Agile Methodology, DevOps Methodology, Scrum Framework, JIRA Tool, GIT, Bitbucket, Jquery, AngularJs, Amazon MWS , Bootstrap, Node.js, Laravel, Scrum","JIRA Tool, GIT, Bitbucket, Anjular JS 1, Angular JS 2, Core Java, J2EE","April 2004 MCM Computer Management Pune, Maharashtra Pune University April 1998 B.Sc Maths Kerala University"
,"Cloud Computing- Exprience - 48 months 
Shell Scripting- Exprience - 96 months
 Python- Exprience - 6 months 
Automation- Exprience - 72 months 
Solution Architect- Exprience - Less than 1 year months 
Azure- Exprience - Less than 1 year months 
AWS- Exprience - Less than 1 year months","AWS Cloud, Azure Cloud.","January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University"
ETL Developer,"ETL- Exprience - 48 months
EXTRACT, TRANSFORM, AND LOAD- Exprience - 48 months
INFORMATICA- Exprience - 48 months
MS SQL SERVER- Exprience - 48 months
RECONCILIATION- Exprience - 48 months
Jira- Exprience - 36 months","Mapping designing, usage of multiple transformations. Integration of various data source like SQL Server tables, Flat Files, etc. into target data warehouse","January 2010 to January 2014 BTech CSE Sangli, Maharashtra Walchand College of Engineering
October 2009 H.S.C  Sangli, Maharashtra Willingdon College
August 2007 S.S.C Achievements Sangli, Maharashtra Martin's English School"
,"ETL- Exprience - 39 months
EXTRACT, TRANSFORM, AND LOAD- Exprience - 39 months
INFORMATICA- Exprience - 39 months
ORACLE- Exprience - 39 months
UNIX- Exprience - 39 months","Informatica 9.1 OS: Windows, Unix Professional Development Trainings"," BCA  Nanded, Maharashtra Nanded University"
,informatica- Exprience - 36 months,"ETL tool (Informatica power Center 9.6.1), Oracle 11g (SQL, PL-SQL), UNIX, Facets, Tidal, JIRA, Putty","January 2015 Bachelor of Engineering EXTC Mumbai, Maharashtra Mumbai University
January 2012 Diploma Industrial Electronics Vashi, MAHARASHTRA, IN Fr. Agnel Polytechnic"
,"DATA WAREHOUSE- Exprience - 23 months
DATABASE- Exprience - 20 months
INTEGRATION- Exprience - 20 months
INTEGRATOR- Exprience - 20 months
MS SQL SERVER- Exprience - 20 months","SQL Platform 6.2.1 Management Studio Workbench, AWS Services","January 2012 to January 2016 BE  Mumbai, Maharashtra University of Mumbai
January 2012 CBSE Technology Kochi, Kerala St. Francis"
,"ETL- Exprience - 39 months 
EXTRACT, TRANSFORM, AND LOAD- Exprience - 39 months 
INFORMATICA- Exprience - 39 months 
ORACLE- Exprience - 39 months 
UNIX- Exprience - 39 months",Informatica 9X Education Details,"BCA Nanded, Maharashtra Nanded University"
Hadoop,"Hadoop,Spark,Sqoop,Hive,Flume,Pig- Exprience - 24 months","Linux- Ubuntu, Windows 2007/08, Tableau, SVN, Beyond Compare",January 2016 Bachelors of Engineering Engineering Gujarat Technological University
,"APACHE HADOOP SQOOP- Exprience - 31 months
Hadoop- Exprience - 31 months
HADOOP- Exprience - 31 months
Hive- Exprience - 31 months
SQOOP- Exprience - 31 months
python- Exprience - Less than 1 year months
hdfs- Exprience - Less than 1 year months
unix- Exprience - Less than 1 year months
impala- Exprience - Less than 1 year months
pig- Exprience - Less than 1 year months
unravel- Exprience - Less than 1 year months
mapreduce- Exprience - Less than 1 year months
dataiku- Exprience - Less than 1 year months","hadoop,hive,sqoop,flume,pig,mapreduce,python,impala,spark,scala,sql,unix.","B.E. Electronics & Communication Indore, Madhya Pradesh Medi-caps Institute of Technology & Management"
,"APACHE HADOOP MAPREDUCE- Exprience - 37 months
MapReduce- Exprience - 37 months
MAPREDUCE- Exprience - 37 months
JAVA- Exprience - 32 months
.NET- Exprience - 6 months",IBM Rational Rose,"January 2015 B.E  Pimpri Chinchwad, MAHARASHTRA, IN Pimpri Chinchwad College of Engineering
January 2012 Diploma MSBTE  Dnyanganaga Polytechnic
 S.S.C   New English School Takali"
Software Developer,"CRM, Epicor ERP, MFGPRO, SAP R3, Data Collection, MS Access, MS Project, SSRS Report Writing, EDI Integration, Procad, Purchasing, Excel, Vendor Management, IT Management, VMware, Strategic Planning.","Epicor ERP, MFGPRO, SAP R3, Procad, SSRS, Salesforce, Office 365, Quickbooks, Account Edge Pro, VMware, Windows Scheduled Events.","Master of Science in Information Systems Management, Ferris State University, Big Rapids, MI, 1999."
,"Web development, HTML/CSS/JS, Game Design, Serverside Programming, Adobe ColdFusion/SQL, UI/UX Design, Authoring Tools (Construct, Lectora, Storyline), Motion Graphics/After Effects, Flash/Animate, Adobe Suite","HTML/CSS/JS (including libraries such as jQuery and nodejs), ColdFusion, SQL, Adobe Suite, Construct, Lectora, Storyline, Flash/Animate, After Effects","Bachelor of Science in Media Arts and Science from IUPUI School of Informatics, Indianapolis, IN"
,"Java, SQL, JDBC, Servlets, JSP, Spring, Hibernate, Eclipse, SQL Developer, Log4j, SVN, WINSCP, Beyond Compare, Design Patterns (Singleton, MVC), Tomcat, eBaoTech","Java, SQL, JDBC, Servlets, JSP, Spring, Hibernate, Eclipse, SQL Developer, Log4j, SVN, WINSCP, Beyond Compare, Oracle, mySQL, Tomcat, eBaoTech","Bachelor of Engineering in Engineering Technology from Acharya Nagarjuna University, Guntur, AP, India"
Java Developer,"Java, SQL, PL/SQL, C, C++, BootStrap, JSP, Ext JS Operating Systems: Windows Tools: Toad, Eclipse, SoapBox, Postman Databases: Oracle, MS-SQL, MS-Access, MS-Excel","Eclipse, TOAD, SoapBox, Postman","January 2017 B.E. Computer Technology Gondia, MAHARASHTRA, IN Manoharbhai Patel Institute of Engineering and Technology HSC Gondia, MAHARASHTRA, IN S.M.P. Science College"
,JAVA- Exprience - 21 months MYSQL- Exprience - 21 months DATABASES- Exprience - 17 months J2EE- Exprience - 17 months ANDROID- Exprience - 6 months,"Computer Language Java/J2EE, Swift, HTML, Shell script, MySQL Databases MySQL Tools SVN, Jenkins, Hudson, Weblogic12c Software Android Studio, Eclipse, Oracle, Xcode Operating Systems Win 10, Mac (High Sierra)","June 2016 B.E. Information Technology Goregaon, MAHARASHTRA, IN Vidyalankar Institute of Technology May 2013 Mumbai, Maharashtra Thakur Polytechnic May 2010 Mumbai, Maharashtra St. John's Universal School"
,"c++- Exprience - Less than 1 year months
c- Exprience - Less than 1 year months
JAVA- Exprience - Less than 1 year months
DS- Exprience - Less than 1 year months
Jdbc- Exprience - 24 months
Hibernate- Exprience - Less than 1 year months
Java J2Ee- Exprience - Less than 1 year months
Javascript- Exprience - 6 months
JQuery- Exprience - 6 months
Ajax- Exprience - 6 months","Programming language C, C++, DS, Java(Swing, JDBC, J2EE) java script,jquery,
Ms office, Excel.",BE IT Priyadarshini J. L. College of Engineering (AUTONOMOUS)
,AJAX- Exprience - 12 months DATABASE- Exprience - 24 months HTML- Exprience - 24 months J2EE- Exprience - 6 months JAVA- Exprience - 24 months Spring MVC- Exprience - 12 months Ionic 3- Exprience - 6 months Angular JS- Exprience - 6 months Spring- Exprience - Less than 1 year months Java- Exprience - Less than 1 year,"SpringMVC, Hibernate, JDBC, Java, J2EE, AzureWeb SunTechnologies Services, JSP, Struts, Servlet, RestApi. Scripting JavaScript, AJAX, HTML, JSON. OpenSourceTechnologies PHP. Database MsSQL, MySQL, Oracle. WebServers ApacheTomcatServer. Internettechnologiesand OnesignalWebPushNotifications, AzurewebServices, frameworks IONIC, HTML, JSON OperatingSystem WindowsServer2012R2, WinXP/7/8.1/10, Linux, Mac OS","August 2013 to July 2016 BE Computer Engineering Nashik, Maharashtra Late G.N. Sapkal COE Nashik July 2009 to June 2013 Diploma Computer technology Nashik, Maharashtra K K Wagh Polytechnic Nashik"
,JAVA- Exprience - 6 months DATABASES- Exprience - 6 months Hibernate- Exprience - Less than 1 year months Jsp- Exprience - Less than 1 year months Servlet- Exprience - Less than 1 year months,"Visual Basic 6.0, UML, Packet Tracer Web technologies Core java, Advance java, JSP, Hibernate, Spring Languages known C, C++ Databases SQL","June 2015 to February 2018 ME(computers) computer Pune, Maharashtra Savitribai Phule Pune University June 2007 S.S.C. Solapur, Maharashtra Maharashtra Secondary Board"
,ECLIPSE- Exprience - Less than 1 year months JAVA- Exprience - 14 months HIBERNATE- Exprience - Less than 1 year months SPRING- Exprience - Less than 1 year months jQuery- Exprience - Less than 1 year months,"JSP, Servlet, HTML, CSS, Java Script, Jquery, Ajax, Spring, Hibernate Operating System: Microsoft WindowsÂ® 2003/XP/Vista/7/8 Databases: My SQL Concepts: OOPS, Core java, Advance java Development Tool: Eclipse, Net beans IDE Web Server: Apache Tomcat 7.0","January 2007 H.S.C Amravati, Maharashtra VidyaBharati college January 2005 S.S.C Amravati, Maharashtra Holy Cross English School"
,Css- Exprience - Less than 1 year months Ajax- Exprience - Less than 1 year months Servlet- Exprience - Less than 1 year months Html5- Exprience - Less than 1 year months Spring- Exprience - Less than 1 year months Java- Exprience - Less than 1 year months Jquery- Exprience - Less than 1 year months Jsp- Exprience - Less than 1 year months Javascript- Exprience - Less than 1 year months Bootstrap- Exprience - Less than 1 year months Spring Boot- Exprience - Less than 1 year months,"Programming Languages: Java (Servlet, JSP, Spring Boot). Web Technology: HTML5, CSS3, Bootstrap, JavaScript, JQuery, Ajax, AngularJs. Database: MySQL. IDE and Tool: Eclipse, spring tool Suit, Net beans, Sublime Text, Atom. Operating System: Windows XP, 7, 8, 10.","January 2018 M.C.A Pune, Maharashtra Pune University January 2015 B.C.A Amravati, Maharashtra Amravati University January 2012 H.S.C Amravati, Maharashtra Amravati University January 2010 S.S.C Amravati, Maharashtra Amravati University"
,J2EE- Exprience - 17 months C++- Exprience - 6 months DATABASES- Exprience - 6 months FUNCTIONAL TESTING- Exprience - 6 months LINUX- Exprience - 6 months,"Languages Known: C, C++, J2EE, Spring, Hibernate. Testing: Functional Testing, Manual Testing. Operating Systems: Windows & Linux. Packages: MS-office. Databases: My SQL & PostgreSQL","January 2013 to January 2017 B.E Computer Science and Engineering RTMNU University - Jhulelal Institute of Technology January 2011 to January 2013 HSC Nagpur, Maharashtra Maharashtra State Board - Dayanand Arya Kanya Junior College January 2010 to January 2011 SSC Nagpur, Maharashtra Maharashtra State Board"
,JAVA- Exprience - 21 months MYSQL- Exprience - 21 months DATABASES- Exprience - 17 months J2EE- Exprience - 17 months ANDROID- Exprience - 6 months,"Computer Language Java/J2EE, Swift, HTML, Shell script, MySQL Databases MySQL Tools SVN, Jenkins, Hudson, Weblogic12c Software Android Studio, Eclipse, Oracle, Xcode Operating Systems Win 10, Mac (High Sierra)","June 2016 B.E. Information Technology Goregaon, MAHARASHTRA, IN Vidyalankar Institute of Technology May 2013 Mumbai, Maharashtra Thakur Polytechnic May 2010 Mumbai, Maharashtra St. John's Universal School"
,JAVA- Exprience - 6 months DATABASES- Exprience - 6 months Hibernate- Exprience - Less than 1 year months Jsp- Exprience - Less than 1 year months Servlet- Exprience - Less than 1 year months,"Windows XP, 7, 10. Tools/Packages Visual Basic 6.0, UML, Packet Tracer Web technologies Core java, Advance java, JSP, Hibernate, Spring Languages known C, C++ Databases SQL","June 2015 to February 2018 ME(computers) computer Pune, Maharashtra Savitribai Phule Pune University June 2007 S.S.C. Solapur, Maharashtra Maharashtra Secondary Board"
Network Security Engineer,CISCO- Exprience - 43 months DHCP- Exprience - 43 months DNS- Exprience - 43 months FTP- Exprience - 43 months LAN- Exprience - 43 months,"Operating Systems: Windows, Linux, Ubuntu Network Technologies : Cisco Routing and Switching, InterVLAN Routing, Dynamic Protocols i.e. RIPv2, RIPng, OSPF, EIGRP. Static Routing, ACL, VTP, VLAN, EhterChannel, HSRP, STP, IPv6, Lan Troubleshooting, Structured Network Cabling, Cisco Firewall and Fortinet Firewall, RHEL 6 networks. Networking Devices : Cisco Routers: 1800s, 1900s, 2600s, 2900s, 3600s, 3800s, 7200s etc. : Cisco Switches: Cisco Catalyst 2900s, 3700s, 4850s etc. : HP ProLiant Servers, Dell Server, Lenovo Servers etc. : Fortinet Firewall, Modem etc. Server Technologies : AD, RODC, FTP, Print Server, SCCM, WDS, DHCP, Group Policies, DHCP Server, DNS Server, RIS Server, User policies, computer policies etc. Backup Technologies: Server 2016 backup tools, Symantec Backup EXEC 12D etc. Virtualisation: VMWare ESXi, VMware Workstation, Oracle VirtualBox, GNS3 Network Simulator etc.",MSC AISECT university in distance education B. Com Jiwaji University Sr. Network Engineer
,Network Security- Exprience - 72 months CHECKPOINT- Exprience - 72 months CISCO- Exprience - 72 months CISCO ASA- Exprience - 72 months Cisco routing and switching- Exprience - 60 months Loadbalncing F5- Exprience - 60 months security- Exprience - Less than 1 year months Cisco- Exprience - Less than 1 year months VPN- Exprience - Less than 1 year months LAN- Exprience - Less than 1 year months Networking- Exprience - Less than 1 year months,"Cisco ASA, Checkpoint (Upto R.80) Juniper/Netscreen, Fortinet, FWSM","September 2006 to August 2011 Bachelor of Engineering (BE) Electronics Pune, Maharashtra A.I.S.S.M.S College of Engineering, University of Pune July 2004 to February 2006 Higher Secondary Certificate Science Pune, Maharashtra Sinhgad College, University Of Pune June 2003 to March 2004 secondary school certificate (SSC) science Pune, Maharashtra M.E.S Boys High School, Maharashtra, Pune"
